HHI,alpha,average_first_publish_to_top10_days,diversity_factor,gini,n_genes_final,n_seasons_completed,run_idx,seed,shannon_diversity,top10_newcomer_rate,top10_share,total_battles
2.1360057868779445,0.0,9000.0,1.0,0.13547714753317944,5212.0,100.0,0,211,8.46869898134534,0.0,0.0022322562708606327,4008466.0
2.1520628591445035,0.0,9000.0,1.0,0.13533711160506157,5171.0,100.0,1,212,8.460899506715045,0.0,0.0022498190225397957,4018626.0
2.1451506829970484,0.0,9000.0,1.0,0.13739869125463586,5195.0,100.0,2,213,8.464865369025148,0.0,0.0022454880149479204,4044373.0
2.186318916496906,0.0,9000.0,1.0,0.1357824438234445,5091.0,100.0,3,214,8.44541659144993,0.0,0.00228655883722871,3974463.0
2.149543240985574,0.0,9000.0,1.0,0.13613987854059434,5185.0,100.0,4,215,8.462332341639705,0.0,0.00224533121081732,4064367.0
2.1462428869532664,0.0,9000.0,1.0,0.13537938013092893,5185.0,100.0,5,216,8.463828104071421,0.0,0.0022438765488438234,4041343.0
2.120524507868652,0.0,9000.0,1.0,0.135246130273302,5250.0,100.0,6,217,8.475769143049616,0.0,0.0022153431817774757,4098537.0
2.145568109464605,0.0,9000.0,1.0,0.13455739085793864,5187.0,100.0,7,218,8.463890302092485,0.0,0.0022401172170262453,4002291.0
2.16000697275619,0.0,9000.0,1.0,0.13841307093320804,5162.0,100.0,8,219,8.458339750593113,0.0,0.002262971129416973,3955398.0
2.135946240836268,0.0,9000.0,1.0,0.13316969862866013,5205.0,100.0,9,220,8.467775865864713,0.0,0.002228431601004566,4064793.0
2.1338354519382197,0.0,9000.0,1.0,0.13564735314024187,5219.0,100.0,10,221,8.46926509815051,0.0,0.0022296399421157503,4093877.0
2.141483972808028,0.0,9000.0,1.0,0.13613802397327712,5202.0,100.0,11,222,8.466045707164238,0.0,0.0022383558927223253,4051479.0
2.148786919623611,0.0,9000.0,1.0,0.13740673020652747,5188.0,100.0,12,223,8.463195928306618,0.0,0.0022482654200792207,3972501.0
2.1496312481581876,0.0,9000.0,1.0,0.13567358962764361,5180.0,100.0,13,224,8.462435670359227,0.0,0.0022465695251237226,4046571.0
2.116916609841064,0.0,9000.0,1.0,0.13682702451800705,5264.0,100.0,14,225,8.47802107606963,0.0,0.0022140946803200345,4066897.0
2.164682954364504,0.0,9000.0,1.0,0.13454183281797452,5140.0,100.0,15,226,8.454887926100083,0.0,0.002260728084851266,4026319.0
2.1043736045697203,0.0,9000.0,1.0,0.13513476488629889,5292.0,100.0,16,227,8.483352977721525,0.0,0.002197140026726741,4127608.0
2.155739339901659,0.0,9000.0,1.0,0.13750702544138285,5168.0,100.0,17,228,8.4600973777287,0.0,0.002257820580898176,3965828.0
2.1400214867215195,0.0,9000.0,1.0,0.13622699266980165,5205.0,100.0,18,229,8.466848360914508,0.0,0.0022374817301829756,4084241.0
2.115071937120665,0.0,9000.0,1.0,0.1365752718677479,5267.0,100.0,19,230,8.478624625575105,0.0,0.002212230601039593,4100297.0
2.1184154289674777,0.0,9000.0,1.0,0.1371917929629791,5261.0,100.0,20,231,8.477075854551268,0.0,0.002216533903894023,4056657.0
