HHI,average_first_publish_to_top10_days,decay_floor,diversity_factor,gini,n_genes_final,n_seasons_completed,run_idx,seed,shannon_diversity,top10_newcomer_rate,top10_share,total_battles
1.0612594065933654,9000.0,0.01,0.9999946418757192,0.13427163816195836,10481.0,100.0,0,400,9.167752403961808,0.0,0.0011083378187063282,8207857.0
1.053745474345258,9000.0,0.01,0.999994651724643,0.13472597330118705,10562.0,100.0,1,401,9.174712135707969,0.0,0.0011003914381642196,8353065.0
1.0524200417409917,9000.0,0.01,0.999994641923528,0.13562944043553823,10579.0,100.0,2,402,9.176424266556928,0.0,0.001100007836210169,8270760.0
1.0520845414898812,9000.0,0.01,0.9999946185218129,0.1363219242914561,10588.0,100.0,3,403,9.176978062176111,0.0,0.0011000619056434075,8337275.0
1.0442025751766202,9000.0,0.01,0.9999946936745818,0.13554985947029916,10660.0,100.0,4,404,9.184207924423394,0.0,0.0010916162247859155,8342534.0
1.0514798179889693,9000.0,0.01,0.9999946755390149,0.13440537051175444,10582.0,100.0,5,405,9.176793452146134,0.0,0.0010978725805705298,8368116.0
1.0511992447839313,9000.0,0.01,0.9999946940350298,0.13451395009024233,10581.0,100.0,6,406,9.177338465416753,0.0,0.001098280883835754,8286177.0
1.080213887164833,9000.0,0.01,0.9999945041851837,0.1347680808989934,10306.0,100.0,7,407,9.149962393373734,0.0,0.0011276960909802469,8088910.0
1.0505703068772423,9000.0,0.01,0.9999946853218398,0.1342758051349013,10590.0,100.0,8,408,9.177711291209087,0.0,0.0010968581200197407,8334369.0
1.0757591158836322,9000.0,0.01,0.9999945160110087,0.13579063045804635,10351.0,100.0,9,409,9.154523622164454,0.0,0.0011244619590424132,8154130.0
1.060083024055339,9000.0,0.01,0.9999946234418361,0.13497528002620887,10498.0,100.0,10,410,9.169007633853353,0.0,0.0011075520868013549,8220304.0
1.0598546975023257,9000.0,0.01,0.9999946303224614,0.1352116949437621,10499.0,100.0,11,411,9.169264608660324,0.0,0.0011078935653477554,8232324.0
1.0529727962136615,9000.0,0.01,0.9999946276910407,0.13622756345884868,10576.0,100.0,12,412,9.176166285064559,0.0,0.0011012498666531864,8194890.0
1.056095270178746,9000.0,0.01,0.9999945970608292,0.1363069023424819,10548.0,100.0,13,413,9.17301927147758,0.0,0.0011042075901062784,8285042.0
1.0473997965031943,9000.0,0.01,0.9999946396460206,0.13596582008879846,10636.0,100.0,14,414,9.181282055778361,0.0,0.0010944681776069698,8419419.0
1.0685445718959654,9000.0,0.01,0.999994584527871,0.13461799718270653,10414.0,100.0,15,415,9.160860384867798,0.0,0.0011159052099832542,8203272.0
1.0602879502543778,9000.0,0.01,0.9999946131944949,0.13535541648197064,10498.0,100.0,16,416,9.16894850766786,0.0,0.0011081224783387887,8227265.0
1.0580177202930594,9000.0,0.01,0.9999945954986889,0.13603135658806917,10527.0,100.0,17,417,9.171319631358847,0.0,0.0011059833285451729,8270715.0
1.0668395372446757,9000.0,0.01,0.9999945456191844,0.13596687492168638,10441.0,100.0,18,418,9.162759178661812,0.0,0.0011149619353476225,8206313.0
