HHI,alpha,average_first_publish_to_top10_days,diversity_factor,gini,n_genes_final,n_seasons_completed,run_idx,seed,shannon_diversity,top10_newcomer_rate,top10_share,total_battles
1.0663888123696026,0.1,9000.0,0.9999989145466656,0.13496547004858425,10440.0,100.0,0,100,9.162940920973725,0.0,0.0011135355817009991,8187255.0
1.0577283303921636,0.1,9000.0,0.9999989219916031,0.13593572359828296,10527.0,100.0,1,101,9.17136102254778,0.0,0.0011059439926706868,8254022.0
1.0808222686139428,0.1,9000.0,0.9999988928673426,0.13652038241139383,10308.0,100.0,2,102,9.150075377879563,0.0,0.0011302367915482004,8145297.0
1.0535433992722059,0.1,9000.0,0.9999989296748777,0.13597264714119642,10565.0,100.0,3,103,9.17527118587514,0.0,0.001102175482744358,8257257.0
1.0675696193144437,0.1,9000.0,0.9999989229665627,0.13469947009151925,10418.0,100.0,4,104,9.162023455784377,0.0,0.0011158103020984978,8123869.0
1.0644284461289506,0.1,9000.0,0.9999989277336958,0.13421490311806306,10447.0,100.0,5,105,9.164693897147572,0.0,0.001111963503789665,8248465.0
1.0492487384829337,0.1,9000.0,0.9999989315892421,0.13571932658662952,10611.0,100.0,6,106,9.17948451668088,0.0,0.0010968535746610434,8284862.0
1.0594626124692592,0.1,9000.0,0.9999989091614466,0.1365523120970676,10522.0,100.0,7,107,9.169708429634454,0.0,0.0011070809915942066,8234332.0
1.0517316787984803,0.1,9000.0,0.9999989316936388,0.13477567933468507,10583.0,100.0,8,108,9.176709480157642,0.0,0.0010982673737056398,8295017.0
1.0773907857578733,0.1,9000.0,0.9999989027755948,0.1353955370651792,10334.0,100.0,9,109,9.152733693781055,0.0,0.0011256909195560044,8150871.0
1.0684662817047106,0.1,9000.0,0.9999989093939431,0.13602904904845234,10423.0,100.0,10,110,9.161372985407684,0.0,0.0011170744710790625,8181197.0
1.0583320448119324,0.1,9000.0,0.9999989277004102,0.13442049646757476,10514.0,100.0,11,111,9.170543512034808,0.0,0.0011049720506101206,8269597.0
1.049854884254275,0.1,9000.0,0.9999989361980418,0.1346968359595295,10599.0,100.0,12,112,9.178810218822091,0.0,0.0010965612662360872,8335059.0
1.0628528607058194,0.1,9000.0,0.9999989142577919,0.13607683857946878,10479.0,100.0,13,113,9.16665827064741,0.0,0.0011111430418882455,8177110.0
1.0651866823923164,0.1,9000.0,0.9999989238173086,0.13459188335624697,10443.0,100.0,14,114,9.163962462253505,0.0,0.001112905149608416,8246184.0
1.0570804390359732,0.1,9000.0,0.9999989284711949,0.13540871085417125,10527.0,100.0,15,115,9.171993274135147,0.0,0.0011052728004814182,8272645.0
1.0800013246163727,0.1,9000.0,0.9999988973142263,0.1364285243207432,10312.0,100.0,16,116,9.150838167664297,0.0,0.0011297739641312615,8025527.0
1.0591054569083171,0.1,9000.0,0.9999989326481761,0.1342250427713543,10500.0,100.0,17,117,9.16983985675142,0.0,0.001106328493174143,8293893.0
1.0644173589584622,0.1,9000.0,0.9999989132055177,0.13601788984586421,10463.0,100.0,18,118,9.16509199600552,0.0,0.0011127735389100566,8170660.0
