HHI,alpha,diversity_factor,gini,n_genes_final,n_seasons_completed,run_idx,seed,shannon_diversity,top10_newcomer_rate,top10_share,total_battles
2.161562026789159,0.1,0.9999977976364257,0.13629106369063018,5151.0,100.0,0,200,8.456883152341499,0.0,0.002261480973204038,3983077.0
2.1777813342554566,0.1,0.9999977567912482,0.13689406982910313,5119.0,100.0,1,201,8.449621787597088,0.0,0.00227671270507727,3986588.0
2.166430129772513,0.1,0.9999977904997926,0.13651424738646145,5140.0,100.0,2,202,8.454721327112443,0.0,0.002267000654630356,4004129.0
2.1932361411029584,0.1,0.9999977638469066,0.13580915503767035,5077.0,100.0,3,203,8.442097139855113,0.0,0.0022926538408044447,3963426.0
2.2290613010496774,0.1,0.9999977249211326,0.13548191711958557,4996.0,100.0,4,204,8.425874816882967,0.0,0.0023285357036769857,3936147.0
2.1543785520751317,0.1,0.9999978093590117,0.13551503732603776,5167.0,100.0,5,205,8.459990327895323,0.0,0.002251942601804822,3984874.0
2.145798089471624,0.1,0.9999978205442053,0.1351849090053595,5187.0,100.0,6,206,8.463660675619789,0.0,0.002242232709231292,4024068.0
2.1254212287698135,0.1,0.9999978111257608,0.137401193935404,5245.0,100.0,7,207,8.474127028134939,0.0,0.0022238137060523835,4033106.0
2.1203505176845874,0.1,0.999997858208498,0.1349136645817234,5246.0,100.0,8,208,8.475631172915103,0.0,0.002216559874139319,4090729.0
2.178152818705098,0.1,0.9999977836588027,0.1359365330503083,5111.0,100.0,9,209,8.449237722124218,0.0,0.0022780178839667945,3970473.0
2.1636918591306236,0.1,0.9999978254629102,0.13353646525960736,5138.0,100.0,10,210,8.454974190836896,0.0,0.0022587754674804022,4047340.0
2.1360057868779445,0.1,0.9999978259964613,0.13547714753317944,5212.0,100.0,11,211,8.46869898134534,0.0,0.0022322562708606327,4008466.0
2.1520628591445035,0.1,0.9999978175471452,0.13533711160506157,5171.0,100.0,12,212,8.460899506715045,0.0,0.0022498190225397957,4018626.0
2.1451506829970484,0.1,0.9999977973254945,0.13739869125463586,5195.0,100.0,13,213,8.464865369025148,0.0,0.0022454880149479204,4044373.0
2.186318916496906,0.1,0.9999977788587349,0.1357824438234445,5091.0,100.0,14,214,8.44541659144993,0.0,0.00228655883722871,3974463.0
