HHI,average_first_publish_to_top10_days,diversity_factor,gini,n_genes_final,n_seasons_completed,run_idx,season_length_days,seed,shannon_diversity,top10_newcomer_rate,top10_share,total_battles
5.797117654081889,3000.0,0.9999685252890392,0.15975137112131965,1935.0,100.0,0,30,300,7.47975486772621,0.0,0.0062493824462864864,531041.0
6.042903521351253,3000.0,0.9999672331845796,0.15911598330909543,1856.0,100.0,1,30,301,7.438673811728064,0.0,0.006507543112493718,516469.0
5.906547565309119,3000.0,0.9999686471289769,0.1571662353855967,1894.0,100.0,2,30,302,7.461042582841268,0.0,0.006363127747514523,522095.0
6.029430491120549,3000.0,0.9999679072211044,0.1576554872050569,1856.0,100.0,3,30,303,7.4402244167149005,0.0,0.00649921168869747,518189.0
6.1074442918152565,3000.0,0.9999669403875971,0.1591810399211427,1836.0,100.0,4,30,304,7.428073642395952,0.0,0.006580045211034325,507583.0
6.012341039971089,3000.0,0.9999678936539511,0.15840234474839546,1862.0,100.0,5,30,305,7.4434853423541965,0.0,0.006485894805041797,506700.0
6.146129126450798,3000.0,0.9999666473150773,0.15874268650424495,1825.0,100.0,6,30,306,7.4216201678389035,0.0,0.006612609660061905,508623.0
5.878525395347,3000.0,0.9999686618223398,0.15803316778704127,1904.0,100.0,7,30,307,7.466088218289858,0.0,0.006338657762030828,518898.0
6.016947820934738,3000.0,0.9999673749176619,0.16002120009707346,1864.0,100.0,8,30,308,7.4432342936706215,0.0,0.0064913283554866325,511288.0
5.848232830388535,3000.0,0.9999683955774108,0.15976565237282678,1917.0,100.0,9,30,309,7.472055469643892,0.0,0.006310408535388749,527209.0
6.04471875345292,3000.0,0.9999677245161159,0.15763544454451525,1852.0,100.0,10,30,310,7.437797167377895,0.0,0.006511272567963151,510477.0
5.985840588635378,3000.0,0.9999680700653935,0.15674337567773755,1870.0,100.0,11,30,311,7.446852623958179,0.0,0.006437392000958679,527297.0
6.1015263150793135,3000.0,0.9999675335902095,0.157354534319114,1834.0,100.0,12,30,312,7.428328695800006,0.0,0.006573280704527098,505366.0
5.996036768694204,3000.0,0.9999679898240315,0.1575397455373206,1867.0,100.0,13,30,313,7.446048004484505,0.0,0.006457401716253688,508535.0
6.1453027513372644,3000.0,0.9999665385408792,0.16045243173664864,1826.0,100.0,14,30,314,7.422285666966668,0.0,0.006629848573894149,506628.0
6.121942891374092,3000.0,0.9999674074709042,0.15719296611103734,1828.0,100.0,15,30,315,7.424985373535633,0.0,0.006592349593567111,503482.0
6.0603712284014595,3000.0,0.9999672334606744,0.1597629099848252,1850.0,100.0,16,30,316,7.43646606166499,0.0,0.006538930717821837,517508.0
5.913950069359783,3000.0,0.9999684163225544,0.15808966341157424,1893.0,100.0,17,30,317,7.459744095907914,0.0,0.006375383965245565,518116.0
6.1852442983184295,3000.0,0.9999671148648244,0.15667519333129237,1809.0,100.0,18,30,318,7.414265507469585,0.0,0.006655706915566165,509090.0
